Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2011,Maruti,Ritz,Manual,39644,1st Owner,Petrol,DL-2C,Ghaziabad,197000
2014,Maruti,Alto 800,Manual,58874,1st Owner,Petrol,MH-15,Ahmedabad,230000
2016,Maruti,Celerio,Manual,86469,1st Owner,Petrol,MH-14,Pune,455000
2021,Maruti,Baleno,Automatic,45046,2nd Owner,Petrol,HR-26,Gurugram,800000
2020,Tata,Tiago,Manual,52112,2nd Owner,Petrol,BR-01,Patna,475000
2020,Honda,City,Automatic,18854,1st Owner,Petrol,KA-55,Bengaluru,1282000
2013,Maruti,Alto 800,Manual,112858,1st Owner,CNG,MH-14,Pune,279000
2016,Hyundai,i10,Manual,41023,2nd Owner,Petrol,RJ-01,Mansarovar,352000
2017,Hyundai,Grand i10,Manual,54876,2nd Owner,Petrol,RJ-14,Mansarovar,527000
2015,Maruti,Baleno,Manual,92172,1st Owner,Diesel,PB-10,Chandigarh,408000
2018,Datsun,Redi Go,Automatic,51607,2nd Owner,Petrol,KA-02,Bengaluru,320000
2021,Maruti,New Wagon-R,Manual,15632,1st Owner,CNG,BR-01,Patna,592000
2016,Honda,City,Automatic,30899,2nd Owner,Petrol,MH-02,Mumbai,704000
2014,Maruti,Swift,Manual,51489,1st Owner,Petrol,KA-03,Bengaluru,515000
2011,Hyundai,i10,Manual,83325,1st Owner,Petrol,KL-32,Kochi,209000
2017,Maruti,Dzire,Automatic,65079,1st Owner,Petrol,UP-14,Ghaziabad,560000
2016,Hyundai,Elite i20,Manual,10212,1st Owner,Petrol,MH-04,Pune,589000
2018,Honda,WR-V,Manual,27043,2nd Owner,Petrol,TS-36,Hyderabad,679000
2018,Toyota,YARIS,Manual,18326,1st Owner,Petrol,PB-70,Chandigarh,733000
2020,Maruti,Vitara Brezza,Manual,52055,1st Owner,Petrol,PB-10,Chandigarh,877000
2018,Hyundai,Elite i20,Manual,55117,2nd Owner,Petrol,DL-8C,New Delhi,508000
2018,Honda,WR-V,Manual,51496,2nd Owner,Petrol,GJ-06,Ahmedabad,670000
2020,Tata,ALTROZ,Manual,32282,1st Owner,Petrol,UP-53,Noida,697000
2012,Maruti,Swift,Manual,123951,1st Owner,Petrol,MH-05,Mumbai,325000
2014,Hyundai,i20,Manual,53014,1st Owner,Petrol,GJ-13,Ahmedabad,429000
2016,Honda,Jazz,Manual,31130,1st Owner,Petrol,PB-08,Chandigarh,461000
2018,Tata,Tiago,Automatic,41363,1st Owner,Petrol,KA-05,Bengaluru,543000
2018,Maruti,Dzire,Manual,29555,1st Owner,Diesel,BR-01,Patna,603000
2022,Nissan,MAGNITE,Automatic,13800,1st Owner,Petrol,KA-01,Bengaluru,932000
2015,Maruti,Wagon R 1.0,Manual,68548,3rd Owner,Petrol,MH-12,Pune,342000
2018,Maruti,Wagon R 1.0,Manual,66438,1st Owner,CNG,HR-26,Gurugram,424000
2010,Maruti,Swift Dzire,Manual,43603,1st Owner,Petrol,KA-53,Bengaluru,343000
2017,Hyundai,Grand i10,Manual,66080,1st Owner,Petrol,TN-11,Chennai,515000
2015,Hyundai,i10,Manual,66578,2nd Owner,Petrol,MH-42,Nasik,348000
2018,Ford,Ecosport,Manual,89998,1st Owner,Diesel,TN-58,Coimbatore,828000
2015,Maruti,Swift,Manual,67791,2nd Owner,Diesel,KA-05,Bengaluru,682000
2018,Maruti,Swift,Manual,37694,1st Owner,Petrol,PB-65,Ludhiana,549000
2016,Hyundai,Verna,Manual,60123,1st Owner,Petrol,TN-02,Chennai,615000
2013,Hyundai,i10,Automatic,125004,1st Owner,Petrol,KA-52,Bengaluru,317000
2017,Maruti,S Cross,Manual,70930,1st Owner,Diesel,MH-36,Nagpur,645000
2014,Maruti,Swift Dzire,Manual,82929,1st Owner,Petrol,HR-26,New Delhi,368000
2017,Honda,WR-V,Manual,71832,1st Owner,Diesel,KA-25,Bengaluru,748000
2021,Honda,City,Manual,19497,1st Owner,Petrol,KA-50,Bengaluru,1250000
2019,Skoda,Octavia,Automatic,39777,1st Owner,Petrol,KA-05,Bengaluru,1800000
2015,Hyundai,Grand i10,Manual,52596,2nd Owner,Petrol,GJ-01,Ahmedabad,468000
2019,Maruti,Baleno,Manual,47935,1st Owner,Petrol,HR-26,New Delhi,553000
2021,Maruti,New Wagon-R,Manual,44769,1st Owner,CNG,UP-78,Lucknow,606000
2018,Hyundai,Verna,Automatic,76506,2nd Owner,Petrol,MH-14,Pune,877000
2019,Honda,Jazz,Automatic,32790,2nd Owner,Petrol,KA-05,Bengaluru,787000
2021,Nissan,MAGNITE,Automatic,21967,1st Owner,Petrol,DL-8C,New Delhi,807000
2012,Hyundai,i20,Manual,67444,1st Owner,Petrol,KA-02,Bengaluru,434000
2017,Honda,Jazz,Manual,66075,1st Owner,Diesel,WB-02,Kolkata,388650
2021,Tata,ALTROZ,Manual,37539,1st Owner,Diesel,HR-26,Noida,828000
2017,Maruti,Swift,Manual,76039,1st Owner,Petrol,DL-8C,Gurugram,458000
2018,Maruti,Swift,Manual,58791,1st Owner,Petrol,HR-26,Gurugram,463000
2016,Hyundai,Grand i10,Manual,92564,1st Owner,Petrol,KA-04,Bengaluru,507000
2019,Hyundai,GRAND I10 NIOS,Automatic,39162,1st Owner,Petrol,CH-01,Chandigarh,685000
2018,Maruti,Celerio X,Automatic,32891,1st Owner,Petrol,MH-12,Pune,595000
2017,Hyundai,Grand i10,Manual,63011,1st Owner,Petrol,DL-10,Ghaziabad,463000
